id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;sense but;gray mosh;2025-07-24;hamburger mature;along;address as;ha;accidentally unto same
2;toward pfft impassioned;soft;2025-07-24;likewise nor;whale for yieldingly;scratchy with;hygienic;hungry railway
3;elevation;minion lend essence;2025-07-25;bad twin;however limply;lift;biodegrade dreamily;if below while
4;blushing hidden;and including lest;2025-07-25;aw tuxedo;relieve lieu;weakly impanel clinking;equatorial seafood;the
5;carefree;intrigue breed;2025-07-24;uh-huh scarily um;appropriate although well;once;beyond which;bracelet
6;but crossly large;alongside immaculate;2025-07-25;meaningfully rotating;unless sauerkraut;ridge what conceptualize;gripper versus;ostrich guzzle bolster
7;furthermore till developmental;yogurt overdue;2025-07-25;when impractical friendly;failing;scowl;indolent utterly;forsaken
8;after;yippee natural;2025-07-25;wrathful;over;astonishing ew ingratiate;neatly;clumsy indolent vibraphone
9;devise through;tackle under;2025-07-24;secularize hyena;apud necessary;punctually;barring quit;whoever searchingly times
10;tackle fruitful archaeology;meanwhile afore;2025-07-24;hmph zowie yet;although within indeed;yuck altruistic;spectacles indeed outlying;gym
